,NameYear,Price,CarParams,url
0,"Ford Focus, 2013",500 000 ₽,"114 000 км, 2.0 AMT (150 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2013_2108676493
1,"Ford Focus, 2016",759 000 ₽,"57 000 км, 1.6 AMT (105 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2016_2084621385
2,"Ford Focus, 2015",590 000 ₽,"159 000 км, 1.6 AMT (125 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2015_2077324741
3,"Ford Focus, 2010",395 000 ₽,"145 000 км, 2.0 AT (145 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2010_2087573805
4,"Ford Focus, 2016",799 000 ₽,"52 000 км, 1.5 AT (150 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2016_2080129444
5,"Ford Focus, 2005",260 000 ₽,"247 583 км, 1.6 AT (100 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2005_2101603096
6,"Ford Focus, 2010",368 000 ₽,"208 358 км, 1.6 AT (100 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2010_2087180292
7,"Ford Focus, 2012",447 000 ₽,"183 602 км, 1.6 MT (125 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2012_2111599291
8,"Ford Focus, 2010",778 000 ₽,"49 932 км, 2.0 AT (145 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2010_2087107799
9,"Ford Focus, 2012",557 000 ₽,"111 918 км, 1.6 MT (125 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2012_2086948395
10,"Ford Focus, 2010",778 000 ₽,"49 932 км, 2.0 AT (145 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2010_2087107799
11,"Ford Focus, 2006",250 000 ₽,"220 000 км, 2.0 MT (145 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2006_2088816154
12,"Ford Focus, 2015",664 355 ₽,"90 258 км, 1.6 AMT (125 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2015_2079154871
13,"Ford Focus, 2006",250 000 ₽,"220 000 км, 2.0 MT (145 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2006_2088816154
14,"Ford Focus, 2010",368 000 ₽,"208 358 км, 1.6 AT (100 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2010_2087180292
15,"Ford Focus, 2015",590 000 ₽,"159 000 км, 1.6 AMT (125 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2015_2077324741
16,"Ford Focus, 2000",210 000 ₽,"246 000 км, 2.0 AT (131 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2000_2105222754
17,"Ford Focus, 2013",618 000 ₽,"122 365 км, 1.6 MT (125 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2013_2088966408
18,"Ford Focus, 2012",557 000 ₽,"111 918 км, 1.6 MT (125 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2012_2086948395
19,"Ford Focus, 2012",549 000 ₽,"163 000 км, 2.0 AMT (150 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2012_2087551931
