,NameYear,Price,CarParams,url
0,"Lexus RX, 2019",3 749 000 ₽,"74 091 км, 2.0 AT (238 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/lexus_rx_2019_2088575416
1,"BMW 1 серия, 2013",850 000 ₽,"95 721 км, 1.6 AT (136 л.с.), хетчбэк, задний, бензин",https://www.avito.ru/moskva/avtomobili/bmw_1_seriya_2013_2084967393
2,"Infiniti QX80, 2019",5 500 000 ₽,"10 900 км, 5.6 AT (405 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/infiniti_qx80_2019_2106994378
3,"BMW X4, 2015",2 245 000 ₽,"122 000 км, 2.0 AT (190 л.с.), внедорожник, полный, дизель",https://www.avito.ru/moskva/avtomobili/bmw_x4_2015_2087934768
4,"BMW 2 серия Grand Tourer, 2016",1 369 000 ₽,"134 979 км, 1.5 AT (116 л.с.), минивэн, передний, дизель",https://www.avito.ru/moskva/avtomobili/bmw_2_seriya_grand_tourer_2016_2087605231
5,"Mercedes-Benz G-класс AMG, 2019",19 000 000 ₽,"9 800 км, 4.0 AT (585 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/mercedes-benz_g-klass_amg_2019_2111001406
6,"Mercedes-Benz V-класс, 2015",2 000 000 ₽,"101 000 км, 2.1 AT (136 л.с.), минивэн, задний, дизель",https://www.avito.ru/moskva/avtomobili/mercedes-benz_v-klass_2015_2102801042
7,"Renault Logan, 2013",275 000 ₽,"228 908 км, 1.4 MT (75 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/renault_logan_2013_2111075733
8,"Mitsubishi L200, 2012",930 000 ₽,"210 001 км, 2.5 MT (136 л.с.), пикап, полный, дизель",https://www.avito.ru/moskva/avtomobili/mitsubishi_l200_2012_2106525765
9,"KIA cee'd, 2014",495 000 ₽,"174 637 км, 1.6 MT (129 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/kia_ceed_2014_2087891675
10,"Volkswagen Teramont, 2019",3 599 000 ₽,"2 053 км, 3.6 AT (249 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/volkswagen_teramont_2019_2088568491
11,"Volkswagen Polo, 2018",450 000 ₽,"97 500 км, 1.6 MT (90 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/volkswagen_polo_2018_2113170025
12,"Chevrolet Cruze, 2013",469 000 ₽,"113 000 км, 1.8 MT (141 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/chevrolet_cruze_2013_2091878500
13,"KIA Soul, 2017",1 020 000 ₽,"64 406 км, 1.6 AT (132 л.с.), внедорожник, передний, бензин",https://www.avito.ru/moskva/avtomobili/kia_soul_2017_2106592205
14,"Mercedes-Benz C-класс, 2014",1 450 000 ₽,"134 051 км, 2.0 AT (211 л.с.), седан, задний, бензин",https://www.avito.ru/moskva/avtomobili/mercedes-benz_c-klass_2014_2086870552
15,"KIA Sportage, 2014",915 000 ₽,"196 650 км, 2.0 AT (150 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/kia_sportage_2014_2079617389
16,"KIA Cerato, 2013",849 000 ₽,"97 000 км, 2.0 AT (150 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/kia_cerato_2013_2105288646
17,"Volkswagen Passat CC, 2014",980 000 ₽,"76 500 км, 1.8 AMT (152 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/volkswagen_passat_cc_2014_2082948612
18,"Hyundai Santa Fe, 2014",2 099 000 ₽,"45 700 км, 2.2 AT (197 л.с.), внедорожник, полный, дизель",https://www.avito.ru/moskva/avtomobili/hyundai_santa_fe_2014_2131243308
19,"BMW M8, 2019",12 500 000 ₽,"7 254 км, 4.4 AT (625 л.с.), купе, полный, бензин",https://www.avito.ru/moskva/avtomobili/bmw_m8_2019_2115345916
20,"Toyota RAV4, 2017",1 680 000 ₽,"66 175 км, 2.0 CVT (146 л.с.), внедорожник, передний, бензин",https://www.avito.ru/moskva/avtomobili/toyota_rav4_2017_2106721455
21,"Ford Focus, 2013",499 000 ₽,"113 000 км, 2.0 AMT (150 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2013_2104976469
22,"Land Rover Range Rover, 2014",3 590 000 ₽,"185 378 км, 4.4 AT (339 л.с.), внедорожник, полный, дизель",https://www.avito.ru/moskva/avtomobili/land_rover_range_rover_2014_2100608947
23,"Opel Astra, 2013",449 000 ₽,"124 000 км, 1.6 MT (115 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/opel_astra_2013_2105528267
24,"Ford Focus, 2012",589 000 ₽,"122 025 км, 2.0 AMT (150 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2012_2087358805
25,"Mercedes-Benz C-класс, 2018",2 570 000 ₽,"28 326 км, 1.5 AT (184 л.с.), седан, полный, бензин",https://www.avito.ru/moskva/avtomobili/mercedes-benz_c-klass_2018_2111866997
26,"Volkswagen Tiguan, 2016",1 270 000 ₽,"43 000 км, 1.4 AMT (150 л.с.), внедорожник, передний, бензин",https://www.avito.ru/moskva/avtomobili/volkswagen_tiguan_2016_2074264160
27,"Volkswagen Tiguan, 2017",1 250 000 ₽,"144 230 км, 1.4 MT (125 л.с.), внедорожник, передний, бензин",https://www.avito.ru/moskva/avtomobili/volkswagen_tiguan_2017_2111577515
